Filial,Placa_Veiculo,Descricao_POI,Data_Entrada,Data_Saida,Data_Atualizacao,Status,Duracao,Customer_Child_Id,Vehicle_Id,Fence_Id
RIBAS,GCR19,PROJ SANTO ANTONIO IV,31/07/2025 11:21:58,06/08/2025 09:02:41,06/08/2025 10:09:59,Saiu da cerca,5d 21h 40m,40225,580777,186932
TLA - TRANSP. CELULOSE,GCR19,PROJ SANTO ANTONIO IV,31/07/2025 11:21:58,06/08/2025 09:02:41,06/08/2025 10:09:59,Saiu da cerca,5d 21h 40m,40225,580777,186932
RIBAS,SEP8C44,PATIO SYLVAMO,05/08/2025 15:52:43,06/08/2025 08:33:17,06/08/2025 09:33:30,Saiu da cerca,16h 40m,40224,577917,171638
RIBAS,SEP8C44,TROCA DE TURNO-PATIO EXTERNO,05/08/2025 15:52:43,06/08/2025 08:33:17,06/08/2025 09:33:30,Saiu da cerca,16h 40m,40224,577917,123488
TLA - TRANSP. CELULOSE,SEP8C44,PATIO SYLVAMO,05/08/2025 15:52:43,06/08/2025 08:33:17,06/08/2025 09:33:30,Saiu da cerca,16h 40m,40224,577917,171638
TLA - TRANSP. CELULOSE,SEP8C44,TROCA DE TURNO-PATIO EXTERNO,05/08/2025 15:52:43,06/08/2025 08:33:17,06/08/2025 09:33:30,Saiu da cerca,16h 40m,40224,577917,123488
RIBAS,RWJ8D46,Manutencao JSL RRP,05/08/2025 18:48:15,06/08/2025 08:04:58,06/08/2025 09:13:37,Saiu da cerca,13h 16m,45053,583222,169317
TLA - TRANSP. CELULOSE,RWJ8D46,Manutencao JSL RRP,05/08/2025 18:48:15,06/08/2025 08:04:58,06/08/2025 09:13:37,Saiu da cerca,13h 16m,45053,583222,169317
RIBAS,SYD5G28,Oficina JSL,05/08/2025 07:19:33,06/08/2025 08:09:22,06/08/2025 09:09:34,Saiu da cerca,1d 0h 49m,39450,583457,181600
TLA - TRANSP. CELULOSE,SYD5G28,Oficina JSL,05/08/2025 07:19:33,06/08/2025 08:09:22,06/08/2025 09:09:34,Saiu da cerca,1d 0h 49m,39450,583457,181600
RIBAS,SEP7G52,MANUTENCAO-OFICINA MACK TRUCK,05/08/2025 18:37:49,06/08/2025 08:08:12,06/08/2025 09:08:30,Saiu da cerca,13h 30m,40226,576337,153803
TLA - TRANSP. CELULOSE,SEP7G52,MANUTENCAO-OFICINA MACK TRUCK,05/08/2025 18:37:49,06/08/2025 08:08:12,06/08/2025 09:08:30,Saiu da cerca,13h 30m,40226,576337,153803
RIBAS,SEX4G58,MANUTENCAO-AOKI,05/08/2025 11:04:49,06/08/2025 08:06:39,06/08/2025 09:08:19,Saiu da cerca,21h 1m,40224,580639,153856
TLA - TRANSP. CELULOSE,SEX4G58,MANUTENCAO-AOKI,05/08/2025 11:04:49,06/08/2025 08:06:39,06/08/2025 09:08:19,Saiu da cerca,21h 1m,40224,580639,153856
RIBAS,SEP8C45,MANUTENCAO-AOKI,04/08/2025 21:54:27,06/08/2025 08:06:06,06/08/2025 09:08:09,Saiu da cerca,1d 10h 11m,40224,577720,153856
TLA - TRANSP. CELULOSE,SEP8C45,MANUTENCAO-AOKI,04/08/2025 21:54:27,06/08/2025 08:06:06,06/08/2025 09:08:09,Saiu da cerca,1d 10h 11m,40224,577720,153856
RIBAS,SEG4H18,MANUTENCAO - UNIDAS,05/08/2025 19:02:13,06/08/2025 07:38:01,06/08/2025 08:38:12,Saiu da cerca,12h 35m,40224,577826,180913
