Filial,Placa_Veiculo,Descricao_POI,Grupo_POI,Data_Entrada,Data_Saida,Data_Atualizacao,Status,Duracao,Customer_Child_Id,Vehicle_Id,Fence_Id
RIBAS,FOW8J57,Terminal (Consolidado),Terminal,06/08/2025 20:16:56,06/08/2025 21:01:25,06/08/2025 22:01:35,Saiu da cerca (Consolidado),44m,44459,611593,185549
RIBAS,FOW8J57,Patio Carregado INO,Parada Operacional,06/08/2025 20:16:56,06/08/2025 20:33:27,06/08/2025 21:47:49,Saiu da cerca,16m,44459,611593,185552
RIBAS,FOW8J57,Descarga Inocencia,Não Mapeado,06/08/2025 20:16:56,06/08/2025 20:45:59,06/08/2025 21:50:06,Saiu da cerca,29m,44459,611593,171260
RIBAS,FOW8J57,Desc. INO,Descarga,06/08/2025 20:33:27,06/08/2025 20:45:59,06/08/2025 21:50:06,Saiu da cerca,12m,44459,611593,185561
RIBAS,FOW8J57,Descarga INO,Não Mapeado,06/08/2025 20:33:27,06/08/2025 20:45:59,06/08/2025 21:50:06,Saiu da cerca,12m,44459,611593,169315
RIBAS,FOW8J57,Patio Vazio INO,Parada Operacional,06/08/2025 20:48:00,06/08/2025 20:48:37,06/08/2025 21:50:11,Saiu da cerca,0m,44459,611593,185554
RIBAS,FOW8J57,Descarga Inocencia,Não Mapeado,06/08/2025 20:48:00,06/08/2025 21:05:28,06/08/2025 22:05:38,Saiu da cerca,17m,44459,611593,171260
RIBAS,FOW8J57,Patio Carregado INO,Parada Operacional,06/08/2025 20:48:37,06/08/2025 21:01:25,06/08/2025 22:01:35,Saiu da cerca,12m,44459,611593,185552
RIBAS,FOW8J57,Agua Clara,Parada Operacional,06/08/2025 23:17:33,06/08/2025 23:30:40,07/08/2025 00:30:52,Saiu da cerca,13m,44459,611593,171261
RIBAS,FOW8J57,Carregamento Fabrica RRP,Fábrica,07/08/2025 03:34:06,07/08/2025 04:57:56,07/08/2025 05:58:03,Saiu da cerca,1h 23m,44459,611593,170885
RIBAS,FOW8J57,Carregamento (Consolidado),Carregamento,07/08/2025 03:49:28,07/08/2025 04:34:03,07/08/2025 05:40:08,Saiu da cerca (Consolidado),44m,44459,611593,169314
RIBAS,FOW8J57,Enlonamento RRP,Parada Operacional,07/08/2025 04:34:03,07/08/2025 04:57:56,07/08/2025 05:58:04,Saiu da cerca,23m,44459,611593,184474
RIBAS,FOW8J57,Buffer frotas ,Parada Operacional,07/08/2025 04:59:37,07/08/2025 05:14:36,07/08/2025 06:14:44,Saiu da cerca (Consolidado),14m,44459,611593,170884
RIBAS,GBJ0J68,Terminal Inocencia,Terminal,06/08/2025 21:51:36,06/08/2025 22:08:54,06/08/2025 23:11:05,Saiu da cerca,17m,44459,611594,185549
RIBAS,GBJ0J68,Desc. INO,Descarga,06/08/2025 21:51:36,06/08/2025 22:04:37,06/08/2025 23:11:05,Saiu da cerca,13m,44459,611594,185561
RIBAS,GBJ0J68,Descarga INO,Não Mapeado,06/08/2025 21:51:36,06/08/2025 22:04:37,06/08/2025 23:11:05,Saiu da cerca,13m,44459,611594,169315
RIBAS,GBJ0J68,Descarga Inocencia,Não Mapeado,06/08/2025 21:51:36,06/08/2025 22:10:54,06/08/2025 23:11:10,Saiu da cerca,19m,44459,611594,171260
RIBAS,GBJ0J68,Patio Carregado INO,Parada Operacional,06/08/2025 22:04:37,06/08/2025 22:08:54,06/08/2025 23:11:05,Saiu da cerca,4m,44459,611594,185552
RIBAS,GBJ0J68,Agua Clara,Parada Operacional,07/08/2025 00:32:46,07/08/2025 01:04:56,07/08/2025 02:05:45,Saiu da cerca,32m,44459,611594,171261
RIBAS,JDO4D13,Agua Clara,Parada Operacional,06/08/2025 18:22:43,06/08/2025 18:42:50,06/08/2025 19:43:00,Saiu da cerca,20m,44459,613207,171261
RIBAS,JDO4D13,Descarga Inocencia,Não Mapeado,06/08/2025 20:47:32,,06/08/2025 21:49:51,Entrou na cerca,,44459,613207,171260
RIBAS,JDO4D13,Terminal Inocencia,Terminal,06/08/2025 20:49:33,,06/08/2025 21:49:51,Entrou na cerca,,44459,613207,185549
RIBAS,JDO4D13,Patio Carregado INO,Parada Operacional,06/08/2025 20:50:19,06/08/2025 20:59:53,06/08/2025 22:09:57,Saiu da cerca,9m,44459,613207,185552
RIBAS,JDO4D13,Desc. INO,Descarga,06/08/2025 20:59:53,06/08/2025 21:09:26,06/08/2025 22:10:02,Saiu da cerca,9m,44459,613207,185561
RIBAS,JDO4D13,Descarga INO,Não Mapeado,06/08/2025 20:59:53,06/08/2025 21:09:26,06/08/2025 22:10:02,Saiu da cerca,9m,44459,613207,169315
RIBAS,JDO4D13,Patio Vazio INO,Parada Operacional,06/08/2025 21:09:26,06/08/2025 21:09:56,06/08/2025 22:10:37,Saiu da cerca,0m,44459,613207,185554
RIBAS,JDO4D13,Patio Carregado INO,Parada Operacional,06/08/2025 21:09:56,,06/08/2025 22:10:37,Entrou na cerca,,44459,613207,185552
RIBAS,QTQ0F44,Carregamento Fabrica RRP,Fábrica,06/08/2025 17:20:16,06/08/2025 19:42:51,06/08/2025 20:47:07,Saiu da cerca,2h 22m,44459,610552,170885
RIBAS,QTQ0F44,Carregamento (Consolidado),Carregamento,06/08/2025 18:26:03,06/08/2025 19:14:05,06/08/2025 20:18:37,Saiu da cerca (Consolidado),48m,44459,610552,169314
RIBAS,QTQ0F44,Enlonamento RRP,Parada Operacional,06/08/2025 19:14:05,06/08/2025 19:42:51,06/08/2025 20:47:07,Saiu da cerca,28m,44459,610552,184474
RIBAS,QTQ0F44,Buffer frotas ,Parada Operacional,06/08/2025 20:05:22,06/08/2025 21:16:40,06/08/2025 22:20:36,Saiu da cerca,1h 11m,44459,610552,170884
RIBAS,QTQ0F44,Agua Clara,Parada Operacional,06/08/2025 22:30:46,06/08/2025 23:14:49,07/08/2025 00:18:23,Saiu da cerca,44m,44459,610552,171261
RIBAS,QTQ0F44,Terminal Inocencia,Terminal,07/08/2025 02:49:34,07/08/2025 03:50:07,07/08/2025 04:54:34,Saiu da cerca,1h 0m,44459,610552,185549
RIBAS,QTQ0F44,Patio Vazio INO,Parada Operacional,07/08/2025 02:49:34,07/08/2025 03:04:35,07/08/2025 04:37:52,Saiu da cerca,15m,44459,610552,185554
