Filial;Placa_Veiculo;Descricao_POI;Data_Entrada;Data_Saida;Data_Atualizacao;Status;Duracao;Customer_Child_Id;Vehicle_Id;Fence_Id
FILIAL 40227;SGC3G99;TROCA DE TURNO-PATIO EXTERNO;06/08/2025 08:14;06/08/2025 23:22;07/08/2025 00:22;Saiu da cerca;15h 7m;40227;581555;123488
FILIAL 40227;SGC3G99;PATIO TROCA;06/08/2025 08:44;06/08/2025 23:22;07/08/2025 00:22;Saiu da cerca;14h 37m;40227;581555;148788
FILIAL 42169;SPO5I79;PROJ-MONTE ALTO;06/08/2025 11:58;06/08/2025 23:06;07/08/2025 00:12;Saiu da cerca;11h 7m;42169;620369;184402
RIBAS;SYE7D16;Oficina JSL;06/08/2025 12:10;06/08/2025 23:10;07/08/2025 00:10;Saiu da cerca;10h 59m;39450;600098;181600
FILIAL 42169;SPO5I69;TROCA DE TURNO-PATIO EXTERNO;06/08/2025 10:00;06/08/2025 22:51;06/08/2025 23:51;Saiu da cerca;12h 51m;42169;610604;123488
FILIAL 39792;SJR0H90;PROJ-MONTE ALTO;06/08/2025 10:01;06/08/2025 22:22;06/08/2025 23:37;Saiu da cerca;12h 20m;39792;584616;184402
FILIAL 24472;SLW9J70;PROJ-MONTE ALTO;06/08/2025 10:40;06/08/2025 22:33;06/08/2025 23:33;Saiu da cerca;11h 53m;24472;608728;184402
FILIAL 40498;RWG4A86;PROJ-MONTE ALTO;06/08/2025 12:20;06/08/2025 22:20;06/08/2025 23:26;Saiu da cerca;9h 59m;40498;609097;184402
FILIAL 42222;FAC4C52;PROJ-MONTE ALTO;06/08/2025 09:23;06/08/2025 21:46;06/08/2025 22:57;Saiu da cerca;12h 22m;42222;610910;184402
FILIAL 24469;STP5E37;PROJ-MONTE ALTO;06/08/2025 11:18;06/08/2025 21:49;06/08/2025 22:55;Saiu da cerca;10h 31m;24469;612561;184402
FILIAL 40227;SGC5C03;PROJ-MONTE ALTO;06/08/2025 11:09;06/08/2025 21:46;06/08/2025 22:46;Saiu da cerca;10h 36m;40227;601992;184402
FILIAL 42528;GII4J67;PROJ-MONTE ALTO;06/08/2025 09:53;06/08/2025 21:31;06/08/2025 22:37;Saiu da cerca;11h 38m;42528;550656;184402
