Filial,Placa_Veiculo,Descricao_POI,Grupo_POI,Data_Entrada,Data_Saida,Status,Duracao
RIBAS,FOW8J57,Terminal (Consolidado),Terminal,06/08/2025 20:16:56,06/08/2025 21:01:25,Saiu da cerca,0.74
RIBAS,FOW8J57,Descarga (Consolidado),Descarga,06/08/2025 20:16:56,06/08/2025 20:45:59,Saiu da cerca,0.48
RIBAS,FOW8J57,Patio Carregado INO,Parada Operacional,06/08/2025 20:16:56,06/08/2025 20:33:27,Saiu da cerca,16m
RIBAS,FOW8J57,Descarga Inocencia,Não Mapeado,06/08/2025 20:16:56,06/08/2025 20:45:59,Saiu da cerca,29m
RIBAS,FOW8J57,Descarga INO,Não Mapeado,06/08/2025 20:33:27,06/08/2025 20:45:59,Saiu da cerca,12m
RIBAS,FOW8J57,Patio Vazio INO,Parada Operacional,06/08/2025 20:48:00,06/08/2025 20:48:37,Saiu da cerca,0m
RIBAS,FOW8J57,Descarga Inocencia,Não Mapeado,06/08/2025 20:48:00,06/08/2025 21:05:28,Saiu da cerca,17m
RIBAS,FOW8J57,Patio Carregado INO,Parada Operacional,06/08/2025 20:48:37,06/08/2025 21:01:25,Saiu da cerca,12m
RIBAS,FOW8J57,Agua Clara,Parada Operacional,06/08/2025 23:17:33,06/08/2025 23:30:40,Saiu da cerca,13m
RIBAS,FOW8J57,Fábrica (Consolidado),Fábrica,07/08/2025 03:34:06,07/08/2025 04:57:56,Saiu da cerca,1.4
RIBAS,FOW8J57,Carregamento (Consolidado),Carregamento,07/08/2025 03:34:06,07/08/2025 04:34:03,Saiu da cerca,1.0
RIBAS,FOW8J57,Enlonamento RRP,Parada Operacional,07/08/2025 04:34:03,07/08/2025 04:57:56,Saiu da cerca,23m
RIBAS,FOW8J57,Buffer frotas ,Parada Operacional,07/08/2025 04:59:37,07/08/2025 05:14:36,Saiu da cerca (Consolidado),0.25
RIBAS,FOW8J57,Agua Clara,Parada Operacional,07/08/2025 06:51:49,07/08/2025 07:06:55,Saiu da cerca,15m
RIBAS,GBJ0J68,Terminal (Consolidado),Terminal,06/08/2025 21:51:36,06/08/2025 22:08:54,Saiu da cerca,0.29
RIBAS,GBJ0J68,Descarga (Consolidado),Descarga,06/08/2025 21:51:36,06/08/2025 22:04:37,Saiu da cerca,0.22
RIBAS,GBJ0J68,Descarga INO,Não Mapeado,06/08/2025 21:51:36,06/08/2025 22:04:37,Saiu da cerca,13m
RIBAS,GBJ0J68,Descarga Inocencia,Não Mapeado,06/08/2025 21:51:36,06/08/2025 22:10:54,Saiu da cerca,19m
RIBAS,GBJ0J68,Patio Carregado INO,Parada Operacional,06/08/2025 22:04:37,06/08/2025 22:08:54,Saiu da cerca,4m
RIBAS,GBJ0J68,Agua Clara,Parada Operacional,07/08/2025 00:32:46,07/08/2025 01:04:56,Saiu da cerca,32m
RIBAS,GBJ0J68,Enlonamento RRP,Parada Operacional,07/08/2025 06:22:19,07/08/2025 06:33:05,Saiu da cerca,10m
RIBAS,JDO4D13,Descarga Inocencia,Não Mapeado,06/08/2025 20:47:32,,Entrou na cerca,
RIBAS,JDO4D13,Terminal (Consolidado),Terminal,06/08/2025 20:49:33,,Entrou na cerca,0.0
RIBAS,JDO4D13,Descarga (Consolidado),Descarga,06/08/2025 20:49:33,06/08/2025 21:09:26,Saiu da cerca,0.33
RIBAS,JDO4D13,Patio Carregado INO,Parada Operacional,06/08/2025 20:50:19,06/08/2025 20:59:53,Saiu da cerca,9m
RIBAS,JDO4D13,Descarga INO,Não Mapeado,06/08/2025 20:59:53,06/08/2025 21:09:26,Saiu da cerca,9m
RIBAS,JDO4D13,Patio Vazio INO,Parada Operacional,06/08/2025 21:09:26,06/08/2025 21:09:56,Saiu da cerca,0m
RIBAS,JDO4D13,Patio Carregado INO,Parada Operacional,06/08/2025 21:09:56,,Entrou na cerca,
RIBAS,QTQ0F44,Carregamento Fabrica RRP,Fábrica,06/08/2025 17:20:16,06/08/2025 19:42:51,Saiu da cerca,2h 22m
RIBAS,QTQ0F44,Enlonamento RRP,Parada Operacional,06/08/2025 19:14:05,06/08/2025 19:42:51,Saiu da cerca,28m
RIBAS,QTQ0F44,Buffer frotas ,Parada Operacional,06/08/2025 20:05:22,06/08/2025 21:16:40,Saiu da cerca,1h 11m
RIBAS,QTQ0F44,Agua Clara,Parada Operacional,06/08/2025 22:30:46,06/08/2025 23:14:49,Saiu da cerca,44m
RIBAS,QTQ0F44,Terminal (Consolidado),Terminal,07/08/2025 02:49:34,07/08/2025 03:50:07,Saiu da cerca,1.01
RIBAS,QTQ0F44,Descarga (Consolidado),Descarga,07/08/2025 02:49:34,07/08/2025 03:50:07,Saiu da cerca,1.01
RIBAS,QTQ0F44,Patio Vazio INO,Parada Operacional,07/08/2025 02:49:34,07/08/2025 03:04:35,Saiu da cerca,15m
