Filial;Placa_Veiculo;Descricao_POI;Grupo_POI;Data_Entrada;Data_Saida;Status;Duracao
RRP;FOW8J57;Terminal;Terminal;06/08/2025 20:16;06/08/2025 21:01;Saiu da cerca;0.74
RRP;FOW8J57;Descarga;Descarga;06/08/2025 20:16;06/08/2025 20:45;Saiu da cerca;0.48
RRP;FOW8J57;Patio Carregado INO;Parada Operacional;06/08/2025 20:16;06/08/2025 20:33;Saiu da cerca;0.28
RRP;FOW8J57;Descarga Inocencia;Não Mapeado;06/08/2025 20:16;06/08/2025 20:45;Saiu da cerca;0.48
RRP;FOW8J57;Descarga INO;Não Mapeado;06/08/2025 20:33;06/08/2025 20:45;Saiu da cerca;0.21
RRP;FOW8J57;Patio Vazio INO;Parada Operacional;06/08/2025 20:48;06/08/2025 20:48;Saiu da cerca;0.01
RRP;FOW8J57;Descarga Inocencia;Não Mapeado;06/08/2025 20:48;06/08/2025 21:05;Saiu da cerca;0.29
RRP;FOW8J57;Patio Carregado INO;Parada Operacional;06/08/2025 20:48;06/08/2025 21:01;Saiu da cerca;0.21
RRP;FOW8J57;Agua Clara;Parada Operacional;06/08/2025 23:17;06/08/2025 23:30;Saiu da cerca;0.22
RRP;FOW8J57;Fábrica;Fábrica;07/08/2025 03:34;07/08/2025 04:57;Saiu da cerca;1.4
RRP;FOW8J57;Carregamento;Carregamento;07/08/2025 03:34;07/08/2025 04:34;Saiu da cerca;1.0
RRP;FOW8J57;Enlonamento RRP;Parada Operacional;07/08/2025 04:34;07/08/2025 04:57;Saiu da cerca;0.4
RRP;FOW8J57;Buffer frotas ;Parada Operacional;07/08/2025 04:59;07/08/2025 05:14;Saiu da cerca;0.25
RRP;FOW8J57;Agua Clara;Parada Operacional;07/08/2025 06:51;07/08/2025 07:06;Saiu da cerca;0.25
RRP;GBJ0J68;Terminal;Terminal;06/08/2025 21:51;06/08/2025 22:08;Saiu da cerca;0.29
RRP;GBJ0J68;Descarga;Descarga;06/08/2025 21:51;06/08/2025 22:04;Saiu da cerca;0.22
RRP;GBJ0J68;Descarga INO;Não Mapeado;06/08/2025 21:51;06/08/2025 22:04;Saiu da cerca;0.22
RRP;GBJ0J68;Descarga Inocencia;Não Mapeado;06/08/2025 21:51;06/08/2025 22:10;Saiu da cerca;0.32
RRP;GBJ0J68;Patio Carregado INO;Parada Operacional;06/08/2025 22:04;06/08/2025 22:08;Saiu da cerca;0.07
RRP;GBJ0J68;Agua Clara;Parada Operacional;07/08/2025 00:32;07/08/2025 01:04;Saiu da cerca;0.54
RRP;GBJ0J68;Enlonamento RRP;Parada Operacional;07/08/2025 06:22;07/08/2025 06:33;Saiu da cerca;0.18
RRP;GBJ0J68;Carregamento RRp;Carregamento;07/08/2025 07:10;07/08/2025 07:50;Saiu da cerca;0.66
RRP;JDO4D13;Descarga Inocencia;Não Mapeado;06/08/2025 20:47;;Entrou na cerca;0.0
RRP;JDO4D13;Terminal;Terminal;06/08/2025 20:49;;Entrou na cerca;0.0
RRP;JDO4D13;Descarga;Descarga;06/08/2025 20:49;06/08/2025 21:09;Saiu da cerca;0.33
RRP;JDO4D13;Patio Carregado INO;Parada Operacional;06/08/2025 20:50;06/08/2025 20:59;Saiu da cerca;0.16
RRP;JDO4D13;Descarga INO;Não Mapeado;06/08/2025 20:59;06/08/2025 21:09;Saiu da cerca;0.16
RRP;JDO4D13;Patio Vazio INO;Parada Operacional;06/08/2025 21:09;06/08/2025 21:09;Saiu da cerca;0.01
RRP;JDO4D13;Patio Carregado INO;Parada Operacional;06/08/2025 21:09;;Entrou na cerca;0.0
RRP;QTQ0F44;Buffer frotas ;Parada Operacional;06/08/2025 20:05;06/08/2025 21:16;Saiu da cerca;1.19
RRP;QTQ0F44;Agua Clara;Parada Operacional;06/08/2025 22:30;06/08/2025 23:14;Saiu da cerca;0.73
