Filial,Placa_Veiculo,Descricao_POI,Data_Entrada,Data_Saida,Data_Atualizacao,Status,Duracao,Customer_Child_Id,Vehicle_Id,Fence_Id
FILIAL 16622,SYD5G39,PB Lopes,07/08/2025 01:21:00,07/08/2025 04:18:04,07/08/2025 05:18:10,Saiu da cerca,2h 57m,16622,621364,181601
RIBAS,SYD5G61,Agua Clara,07/08/2025 03:00:12,07/08/2025 04:16:43,07/08/2025 05:16:50,Saiu da cerca,1h 16m,39450,595762,171261
RIBAS,SYD5G61,PA AGUA CLARA,07/08/2025 03:46:50,07/08/2025 04:16:43,07/08/2025 05:16:50,Saiu da cerca,29m,39450,595762,185766
RIBAS,SYD5F93,Oficina JSL,07/08/2025 04:15:21,,07/08/2025 05:15:28,Entrou na cerca,,39450,586869,181600
FILIAL 16622,SYR4E37,SELVIRIA,07/08/2025 04:11:39,,07/08/2025 05:14:38,Entrou na cerca,,16622,589829,51127
RIBAS,SYD5G67,PA AGUA CLARA,07/08/2025 01:28:52,07/08/2025 04:12:55,07/08/2025 05:13:02,Saiu da cerca,2h 44m,39450,593649,185766
RIBAS,SYE7D12,Agua Clara,07/08/2025 02:26:28,07/08/2025 04:12:33,07/08/2025 05:12:41,Saiu da cerca,1h 46m,39450,600095,171261
RIBAS,SYD5G56,Agua Clara,07/08/2025 02:44:44,07/08/2025 04:11:33,07/08/2025 05:11:41,Saiu da cerca,1h 26m,39450,595769,171261
RIBAS,SMG9I17,Carregamento Fabrica RRP,07/08/2025 02:58:54,07/08/2025 04:04:41,07/08/2025 05:10:50,Saiu da cerca,1h 5m,44459,617788,170885
RIBAS,SMG9I17,Carregamento Fabrica RRP,07/08/2025 04:07:10,07/08/2025 04:09:43,07/08/2025 05:10:50,Saiu da cerca,2m,44459,617788,170885
RIBAS,SMG9I17,Buffer frotas ,07/08/2025 04:09:43,,07/08/2025 05:10:50,Entrou na cerca,,44459,617788,170884
RIBAS,SMG9B17,Abastecimento Frotas RRP,07/08/2025 04:10:30,,07/08/2025 05:10:35,Entrou na cerca,,44459,613279,170896
RIBAS,SMG9B17,Pro LOG,07/08/2025 04:10:30,,07/08/2025 05:10:35,Entrou na cerca,,44459,613279,185128
