Filial;Placa_Veiculo;Descricao_POI;Grupo_POI;Data_Entrada;Data_Saida;Data_Atualizacao;Status;Duracao;Customer_Child_Id;Vehicle_Id;Fence_Id
RIBAS;FOW8J57;Agua Clara;Parada Operacional;06/08/2025 17:15;06/08/2025 17:25;06/08/2025 18:25;Saiu da cerca;10m;44459;611593;171261
RIBAS;FOW8J57;Terminal Inocencia;Terminal;06/08/2025 20:16;06/08/2025 20:45;06/08/2025 21:50;Saiu da cerca;29m;44459;611593;185549
RIBAS;FOW8J57;Patio Carregado INO;Parada Operacional;06/08/2025 20:16;06/08/2025 20:33;06/08/2025 21:47;Saiu da cerca;16m;44459;611593;185552
RIBAS;FOW8J57;Descarga Inocencia;Não Mapeado;06/08/2025 20:16;06/08/2025 20:45;06/08/2025 21:50;Saiu da cerca;29m;44459;611593;171260
RIBAS;FOW8J57;Descarga INO;Não Mapeado;06/08/2025 20:33;06/08/2025 20:45;06/08/2025 21:50;Saiu da cerca;12m;44459;611593;169315
RIBAS;FOW8J57;Desc. INO;Descarga;06/08/2025 20:33;06/08/2025 20:45;06/08/2025 21:50;Saiu da cerca;12m;44459;611593;185561
RIBAS;FOW8J57;Terminal Inocencia;Terminal;06/08/2025 20:48;06/08/2025 21:01;06/08/2025 22:01;Saiu da cerca;13m;44459;611593;185549
RIBAS;FOW8J57;Patio Vazio INO;Parada Operacional;06/08/2025 20:48;06/08/2025 20:48;06/08/2025 21:50;Saiu da cerca;0m;44459;611593;185554
RIBAS;FOW8J57;Descarga Inocencia;Não Mapeado;06/08/2025 20:48;06/08/2025 21:05;06/08/2025 22:05;Saiu da cerca;17m;44459;611593;171260
RIBAS;FOW8J57;Patio Carregado INO;Parada Operacional;06/08/2025 20:48;06/08/2025 21:01;06/08/2025 22:01;Saiu da cerca;12m;44459;611593;185552
RIBAS;FOW8J57;Agua Clara;Parada Operacional;06/08/2025 23:17;06/08/2025 23:30;07/08/2025 00:30;Saiu da cerca;13m;44459;611593;171261
RIBAS;FOW8J57;Carregamento Fabrica RRP;Fábrica;07/08/2025 03:34;07/08/2025 04:57;07/08/2025 05:58;Saiu da cerca;1h 23m;44459;611593;170885
RIBAS;FOW8J57;Carregamento RRp;Carregamento;07/08/2025 03:49;07/08/2025 04:03;07/08/2025 05:19;Saiu da cerca;13m;44459;611593;169314
