Filial,Placa_Veiculo,Descricao_POI,Data_Entrada_Local,Data_Saida_Local,Data_Atualizacao_Local,Data_Atualizacao_UTC,Status,Duracao,Customer_Child_Id,Vehicle_Id,Fence_Id
FILIAL 41033,RL02,PROJ-MONTE ALTO,15/07/2025 02:29:35,06/08/2025 17:59:11,06/08/2025 20:03:01,06/08/2025 20:03:01 UTC,Saiu da cerca,22d 15h 29m,41033,601912,184402
RIBAS,SYD5G36,Descarga Inocencia,04/08/2025 20:48:57,06/08/2025 19:19:27,06/08/2025 20:25:33,06/08/2025 20:25:33 UTC,Saiu da cerca,1d 22h 30m,39450,595362,171260
RIBAS,SYD5G36,Terminal Inocencia,04/08/2025 22:42:18,06/08/2025 19:00:14,06/08/2025 20:02:56,06/08/2025 20:02:56 UTC,Saiu da cerca,1d 20h 17m,39450,595362,185549
RIBAS,SYD5G36,Patio Carregado INO,04/08/2025 23:02:37,06/08/2025 19:00:14,06/08/2025 20:02:56,06/08/2025 20:02:56 UTC,Saiu da cerca,1d 19h 57m,39450,595362,185552
FILIAL 40226,SEP7G39,MANUTENCAO-GRANFER,05/08/2025 08:52:49,06/08/2025 17:00:49,06/08/2025 18:00:44,06/08/2025 18:00:44 UTC,Saiu da cerca,1d 8h 8m,40226,576190,156895
FILIAL 40226,SEP7G39,MANUTENCAO-GRANFER,05/08/2025 08:52:49,06/08/2025 17:00:49,06/08/2025 18:00:44,06/08/2025 18:00:44 UTC,Saiu da cerca,1d 8h 8m,40226,576190,182610
FILIAL 40224,SEX4G61,MANUTENCAO-AOKI,05/08/2025 10:31:49,06/08/2025 17:31:52,06/08/2025 18:32:00,06/08/2025 18:32:00 UTC,Saiu da cerca,1d 7h 0m,40224,580595,153856
RIBAS,SYD5G38,Oficina JSL,05/08/2025 14:46:14,06/08/2025 18:34:41,06/08/2025 19:34:51,06/08/2025 19:34:51 UTC,Saiu da cerca,1d 3h 48m,39450,583502,181600
RIBAS,SYD5G56,Oficina JSL,05/08/2025 15:53:32,06/08/2025 21:20:37,06/08/2025 22:20:46,06/08/2025 22:20:46 UTC,Saiu da cerca,1d 5h 27m,39450,595769,181600
FILIAL 40224,RHX5I24,MANUTENCAO-CEMAVI,05/08/2025 16:09:42,06/08/2025 16:49:05,06/08/2025 18:36:10,06/08/2025 18:36:10 UTC,Saiu da cerca,1d 0h 39m,40224,619758,153835
FILIAL 41141,JBU0I14,Oficina Central JSL,05/08/2025 18:03:56,06/08/2025 03:04:58,06/08/2025 22:26:46,06/08/2025 22:26:46 UTC,Saiu da cerca,9h 1m,41141,621474,186960
FILIAL 40556,SLZ2D41,MONITORAMENTO-TEMPO DE PATIO,05/08/2025 21:58:17,06/08/2025 19:31:59,06/08/2025 20:32:05,06/08/2025 20:32:05 UTC,Saiu da cerca,21h 33m,40556,586542,151131
FILIAL 40227,RQN2J31,TROCA DE TURNO-PATIO EXTERNO,06/08/2025 01:25:37,06/08/2025 21:12:12,06/08/2025 22:12:24,06/08/2025 22:12:24 UTC,Saiu da cerca,19h 46m,40227,579236,123488
FILIAL 40227,RQN2J31,PATIO TROCA,06/08/2025 01:27:42,06/08/2025 21:12:12,06/08/2025 22:12:24,06/08/2025 22:12:24 UTC,Saiu da cerca,19h 44m,40227,579236,148788
FILIAL 40227,SGD2F76,PROJETO-SANTO ANTONIO V,06/08/2025 05:38:00,06/08/2025 18:07:18,06/08/2025 19:07:27,06/08/2025 19:07:27 UTC,Saiu da cerca,12h 29m,40227,582494,186486
FILIAL 24469,GFU2J55,PROJ-MONTE ALTO,06/08/2025 06:23:05,06/08/2025 16:45:26,06/08/2025 17:51:08,06/08/2025 17:51:08 UTC,Saiu da cerca,10h 22m,24469,550135,184402
FILIAL 40227,SGA3D50,PROJ-MONTE ALTO,06/08/2025 06:23:39,06/08/2025 16:32:04,06/08/2025 17:38:16,06/08/2025 17:38:16 UTC,Saiu da cerca,10h 8m,40227,593558,184402
RIBAS,SYE7D14,Oficina JSL,06/08/2025 06:31:03,06/08/2025 17:56:35,06/08/2025 18:56:42,06/08/2025 18:56:42 UTC,Saiu da cerca,11h 25m,39450,595766,181600
FILIAL 24469,GGV7F09,PROJ-MONTE ALTO,06/08/2025 06:51:23,06/08/2025 17:42:43,06/08/2025 18:51:41,06/08/2025 18:51:41 UTC,Saiu da cerca,10h 51m,24469,535075,184402
FILIAL 25062,TDW4J46,MANUTENCAO-REBUCCI,06/08/2025 07:03:52,06/08/2025 17:02:16,06/08/2025 18:02:27,06/08/2025 18:02:27 UTC,Saiu da cerca,9h 58m,25062,612164,25562
RIBAS,SYE7D12,Oficina JSL,06/08/2025 07:17:01,06/08/2025 20:24:08,06/08/2025 21:24:14,06/08/2025 21:24:14 UTC,Saiu da cerca,13h 7m,39450,600095,181600
FILIAL 40224,SEX4G64,MANUTENCAO-AOKI,06/08/2025 07:36:07,06/08/2025 18:00:44,06/08/2025 19:00:54,06/08/2025 19:00:54 UTC,Saiu da cerca,10h 24m,40224,580695,153856
FILIAL 40227,SFU6H63,SERRANA LOG,06/08/2025 07:51:47,06/08/2025 17:53:06,06/08/2025 18:53:12,06/08/2025 18:53:12 UTC,Saiu da cerca,10h 1m,40227,602000,148782
FILIAL 40227,SFU6H63,MANUTENCAO SERRANALOG,06/08/2025 07:51:47,06/08/2025 17:51:04,06/08/2025 18:51:10,06/08/2025 18:51:10 UTC,Saiu da cerca,9h 59m,40227,602000,181421
FILIAL 24472,REY8E25,PROJ-MONTE ALTO,06/08/2025 07:51:27,06/08/2025 17:09:44,06/08/2025 18:41:03,06/08/2025 18:41:03 UTC,Saiu da cerca,9h 18m,24472,541319,184402
FILIAL 37775,SEL8J19,PROJETO PIATA,06/08/2025 07:53:20,06/08/2025 20:58:10,06/08/2025 22:03:52,06/08/2025 22:03:52 UTC,Saiu da cerca,13h 4m,37775,573363,173448
FILIAL 40224,TAO9G27,MANUTENCAO - UNIDAS,06/08/2025 07:59:47,06/08/2025 17:56:40,06/08/2025 18:56:46,06/08/2025 18:56:46 UTC,Saiu da cerca,9h 56m,40224,605590,180913
RIBAS,SYD5G18,Oficina JSL,06/08/2025 07:43:00,06/08/2025 21:20:09,06/08/2025 22:26:46,06/08/2025 22:26:46 UTC,Saiu da cerca,13h 37m,39450,584817,181600
FILIAL 42222,FAC4G21,PROJ-MONTE ALTO,06/08/2025 08:05:49,06/08/2025 18:26:59,06/08/2025 19:33:04,06/08/2025 19:33:04 UTC,Saiu da cerca,10h 21m,42222,610676,184402
FILIAL 40227,SGC3G99,TROCA DE TURNO-PATIO EXTERNO,06/08/2025 08:14:34,06/08/2025 23:22:19,07/08/2025 00:22:26,07/08/2025 00:22:26 UTC,Saiu da cerca,15h 7m,40227,581555,123488
FILIAL 42222,GAT5I43,PROJ-MONTE ALTO,06/08/2025 07:53:56,06/08/2025 18:32:49,06/08/2025 19:43:30,06/08/2025 19:43:30 UTC,Saiu da cerca,10h 38m,42222,611552,184402
