Placa_Veiculo,Filial,Descricao_POI,Data_Entrada,Data_Saida,Status,Duracao
SYD5F94,TLA - TRANSP. CELULOSE,Oficina JSL,2025-05-09 02:28:12,2025-08-01 15:13:23,Saiu da cerca,84d 12h 45m
TAK8H71,TLA - TRANSP. CELULOSE,MANUTENCAO-GRANFER,2025-05-16 13:29:39,2025-08-04 10:30:43,Saiu da cerca,79d 21h 1m
TAK8H71,TLA - TRANSP. CELULOSE,MANUTENCAO-GRANFER,2025-05-21 13:36:19,2025-08-04 10:30:43,Saiu da cerca,74d 20h 54m
RHX5I24,TLA - TRANSP. CELULOSE,MANUTENCAO - UNIDAS,2025-07-04 10:49:00,2025-08-01 07:21:00,Saiu da cerca,27d 20h 32m
PC01,TLA - TRANSP. CELULOSE,PROJETO-RIO VERDE B,2025-07-08 13:06:12,2025-08-02 15:22:12,Saiu da cerca,25d 2h 16m
GCR18,TLA - TRANSP. CELULOSE,PROJ-MONTE ALTO,2025-07-09 09:03:49,2025-08-01 20:38:11,Saiu da cerca,23d 11h 34m
PC07,TLA - TRANSP. CELULOSE,PROJETO-RIO VERDE B,2025-07-09 12:12:12,2025-08-05 17:51:03,Saiu da cerca,27d 5h 38m
JD05,TLA - TRANSP. CELULOSE,PROJETO-RIO VERDE B,2025-07-09 12:14:31,2025-08-04 15:47:13,Saiu da cerca,26d 3h 32m
GT23,TLA - TRANSP. CELULOSE,PROJETO-MATAO II,2025-07-10 11:38:34,2025-08-01 19:56:05,Saiu da cerca,22d 8h 17m
EF31,TLA - TRANSP. CELULOSE,PROJETO-MATAO II,2025-07-10 18:09:02,2025-08-01 09:29:11,Saiu da cerca,21d 15h 20m
PC06,TLA - TRANSP. CELULOSE,PROJETO-RIO VERDE B,2025-07-11 16:46:51,2025-08-05 14:30:38,Saiu da cerca,24d 21h 43m
PC02,TLA - TRANSP. CELULOSE,PROJETO-RIO VERDE B,2025-07-12 09:33:55,2025-08-03 13:35:45,Saiu da cerca,22d 4h 1m
SYL5J47,TLA - TRANSP. CELULOSE,Manutenção Campo Grande,2025-07-16 12:13:30,2025-08-01 15:41:59,Saiu da cerca,16d 3h 28m
SYL5J47,TLA - TRANSP. CELULOSE,SCANIA PBL,2025-07-16 12:36:38,2025-08-01 15:18:40,Saiu da cerca,16d 2h 42m
RWJ8C61,TLA - TRANSP. CELULOSE,Manutencao JSL RRP,2025-07-17 05:55:05,2025-07-31 11:07:25,Saiu da cerca,14d 5h 12m
EF62,TLA - TRANSP. CELULOSE,PROJETO-MATAO II,2025-07-20 07:51:40,2025-08-01 06:35:42,Saiu da cerca,11d 22h 44m
GCR28,TLA - TRANSP. CELULOSE,PROJ-MONTE ALTO,2025-07-21 06:26:24,2025-08-03 16:48:02,Saiu da cerca,13d 10h 21m
TESTEGRUA,TLA - TRANSP. CELULOSE,SALA ESTIMULAÇÃO - HEXA,2025-07-22 12:47:03,2025-07-31 08:44:03,Saiu da cerca,8d 19h 57m
TESTEGRUA,TLA - TRANSP. CELULOSE,PROJETO NOVA ESPERANCA,2025-07-22 12:47:03,2025-07-31 08:44:03,Saiu da cerca,8d 19h 57m
GCR06,TLA - TRANSP. CELULOSE,PROJ-MONTE ALTO,2025-07-17 11:07:29,2025-08-03 05:31:11,Saiu da cerca,16d 18h 23m
CREAREGRA,TLA - TRANSP. CELULOSE,4 PATIO PA TRANSPORTADORA ( RRP),2025-07-23 16:17:44,2025-07-31 11:22:02,Saiu da cerca,7d 19h 4m
TAS4B15,TLA - TRANSP. CELULOSE,Oficina JSL,2025-07-24 18:29:32,2025-08-05 09:05:30,Saiu da cerca,11d 14h 35m
FYL6A42,TLA - TRANSP. CELULOSE,MANUTENCAO-PH TRANSPORTES,2025-07-24 22:19:08,2025-08-01 17:34:32,Saiu da cerca,7d 19h 15m
SLZ2E07,TLA - TRANSP. CELULOSE,MONITORAMENTO-TEMPO DE PATIO,2025-07-25 05:11:35,2025-07-30 17:08:02,Saiu da cerca,5d 11h 56m
TAT2F22,TLA - TRANSP. CELULOSE,Oficina JSL,2025-07-25 08:55:38,2025-08-05 18:07:46,Saiu da cerca,11d 9h 12m
JCR1E36,TLA - TRANSP. CELULOSE,Manutencao JSL RRP,2025-07-25 15:02:20,2025-08-02 11:00:41,Saiu da cerca,7d 19h 58m
SEX4G63,TLA - TRANSP. CELULOSE,MANUTENCAO-AOKI,2025-07-25 16:42:54,2025-07-31 15:14:44,Saiu da cerca,5d 22h 31m
SYD5G03,TLA - TRANSP. CELULOSE,Manutenção Campo Grande,2025-07-26 07:48:21,2025-08-04 10:23:40,Saiu da cerca,9d 2h 35m
SJZ5I40,TLA - TRANSP. CELULOSE,MANUTENCAO-GRANFER,2025-07-27 02:24:50,2025-07-30 09:37:04,Saiu da cerca,3d 7h 12m
SYD5G49,TLA - TRANSP. CELULOSE,Oficina JSL,2025-07-27 11:17:09,2025-08-04 11:42:34,Saiu da cerca,8d 0h 25m
