Customer_ID;Filial;Placa_Veiculo;Descricao_POI;Grupo_POI;Data_Entrada;Data_Saida;Status;Duracao;Data_Atualizacao;Vehicle_Id;Fence_Id
40456;ID 40456;AZS5J07;Terminal;Terminal;07/08/2025 09:56;07/08/2025 11:18;Saiu da cerca;1.36;07/08/2025 13:56;620874;115514
44459;RRP;FOW8J57;Descarga Inocencia;Terminal;07/08/2025 09:46;07/08/2025 13:40;Saiu da cerca;3.91;07/08/2025 14:46;611593;171260
44459;RRP;GBJ0J68;Agua Clara;Parada Operacional;07/08/2025 10:08;07/08/2025 10:16;Saiu da cerca;0.13;07/08/2025 11:16;611594;171261
44459;RRP;GBJ0J68;Descarga Inocencia;Terminal;07/08/2025 12:25;;Entrou na cerca;0.0;07/08/2025 13:31;611594;171260
42244;ID 42244;JBC2A73;FILA DESCARGA APT;Terminal;07/08/2025 11:16;;Entrou na cerca;0.0;07/08/2025 12:17;609829;115514
40456;ID 40456;JBD4H09;Terminal;Terminal;07/08/2025 09:15;07/08/2025 10:53;Saiu da cerca;1.65;07/08/2025 11:54;608803;115514
40456;ID 40456;JBD4H09;POSTO DE ABASTECIMENTO;Parada Operacional;07/08/2025 13:54;07/08/2025 13:57;Saiu da cerca;0.05;07/08/2025 15:25;608803;115742
40456;ID 40456;JBD4H09;Fila abastecimento posto;Parada Operacional;07/08/2025 13:57;07/08/2025 14:06;Saiu da cerca;0.16;07/08/2025 15:25;608803;186959
40456;ID 40456;JBD4H09;Carregamento Fabrica;Fábrica;07/08/2025 14:16;;Entrou na cerca;0.0;07/08/2025 15:25;608803;185186
41141;ID 41141;JBE2H37;Carregamento Fabrica;Fábrica;07/08/2025 08:43;07/08/2025 09:30;Saiu da cerca;0.78;07/08/2025 10:57;607431;185186
41141;ID 41141;JBE2H37;FILA DESCARGA APT;Terminal;07/08/2025 12:33;;Entrou na cerca;0.0;07/08/2025 14:16;607431;115514
41774;ID 41774;JBJ2H81;FILA DESCARGA APT;Terminal;07/08/2025 11:48;;Entrou na cerca;0.0;07/08/2025 12:53;612666;115514
