Filial,Placa_Veiculo,Descricao_POI,Grupo_POI,Data_Entrada,Data_Saida,Status,Duracao
TLS,AZS5J07,FILA DESCARGA APT,Terminal,07/08/2025 09:56:39,07/08/2025 10:26:53,Saiu da cerca,0.5
TLS,AZS5J07,Descarga TAP,Terminal,07/08/2025 10:26:53,07/08/2025 11:16:04,Saiu da cerca,0.82
TLS,AZS5J07,FILA DESCARGA APT,Terminal,07/08/2025 11:16:04,07/08/2025 11:18:31,Saiu da cerca,0.04
RRP,FOW8J57,Descarga Inocencia,Terminal,07/08/2025 09:46:20,07/08/2025 13:40:55,Saiu da cerca,3.91
RRP,GBJ0J68,Agua Clara,Agua Clara,07/08/2025 10:08:25,07/08/2025 10:16:27,Saiu da cerca,0.13
RRP,GBJ0J68,Descarga Inocencia,Terminal,07/08/2025 12:25:22,,Entrou na cerca,0.0
TLS,JBC2A73,FILA DESCARGA APT,Terminal,07/08/2025 11:16:58,,Entrou na cerca,0.0
TLS,JBD4H09,FILA DESCARGA APT,Terminal,07/08/2025 09:15:07,07/08/2025 09:56:34,Saiu da cerca,0.69
TLS,JBD4H09,Descarga TAP,Terminal,07/08/2025 09:56:34,07/08/2025 10:50:38,Saiu da cerca,0.9
TLS,JBD4H09,FILA DESCARGA APT,Terminal,07/08/2025 10:50:38,07/08/2025 10:53:59,Saiu da cerca,0.06
TLS,JBD4H09,POSTO DE ABASTECIMENTO,Abastecimento,07/08/2025 13:54:15,07/08/2025 13:57:08,Saiu da cerca,0.05
TLS,JBD4H09,Fila abastecimento posto,Abastecimento,07/08/2025 13:57:08,07/08/2025 14:06:58,Saiu da cerca,0.16
TLS,JBD4H09,Carregamento Fabrica,Fábrica,07/08/2025 14:16:48,,Entrou na cerca,0.0
TLS,JBE2H37,FILA DESCARGA APT,Terminal,07/08/2025 12:33:00,,Entrou na cerca,0.0
TLS,JBJ2H81,FILA DESCARGA APT,Terminal,07/08/2025 11:48:57,,Entrou na cerca,0.0
TLS,JBJ4H88,Carregamento Fabrica,Fábrica,07/08/2025 09:43:11,07/08/2025 10:40:40,Saiu da cerca,0.96
TLS,JBJ4H88,FILA DESCARGA APT,Terminal,07/08/2025 13:48:34,,Entrou na cerca,0.0
TLS,JBK3B61,POSTO DE ABASTECIMENTO,Abastecimento,07/08/2025 12:55:41,07/08/2025 13:06:57,Saiu da cerca,0.19
TLS,JBK3B61,Carregamento Fabrica,Fábrica,07/08/2025 13:27:57,07/08/2025 14:22:22,Saiu da cerca,0.91
TLS,JBK3C91,PA Celulose,Ponto Apoio,07/08/2025 08:55:40,07/08/2025 09:44:42,Saiu da cerca,0.82
TLS,JBK3C91,Fila abastecimento posto,Abastecimento,07/08/2025 10:37:23,07/08/2025 10:38:39,Saiu da cerca,0.02
TLS,JBK3C91,POSTO DE ABASTECIMENTO,Abastecimento,07/08/2025 10:38:39,07/08/2025 10:50:51,Saiu da cerca,0.2
TLS,JBK3C91,Carregamento Fabrica,Fábrica,07/08/2025 11:01:55,07/08/2025 11:51:06,Saiu da cerca,0.82
TLS,JBW5G08,Descarga TAP,Terminal,07/08/2025 08:25:09,07/08/2025 09:38:43,Saiu da cerca,1.23
TLS,JBW5G08,FILA DESCARGA APT,Terminal,07/08/2025 09:38:43,07/08/2025 09:42:53,Saiu da cerca,0.07
TLS,JBW5G08,POSTO DE ABASTECIMENTO,Abastecimento,07/08/2025 13:11:14,07/08/2025 13:24:46,Saiu da cerca,0.23
TLS,JBW5G08,Carregamento Fabrica,Fábrica,07/08/2025 13:39:03,07/08/2025 14:31:01,Saiu da cerca,0.87
RRP,JCY1D88,Oficina JSL,Manutenção,07/08/2025 08:54:21,07/08/2025 11:56:33,Saiu da cerca,3.04
TLS,QAO9263,FILA DESCARGA APT,Terminal,07/08/2025 10:14:29,07/08/2025 11:12:03,Saiu da cerca,0.96
TLS,QAO9263,Descarga TAP,Terminal,07/08/2025 11:21:53,07/08/2025 12:15:57,Saiu da cerca,0.9
TLS,QAO9263,FILA DESCARGA APT,Terminal,07/08/2025 12:15:57,07/08/2025 12:17:46,Saiu da cerca,0.03
RRP,QTQ0F44,Agua Clara,Agua Clara,07/08/2025 10:53:51,07/08/2025 11:04:22,Saiu da cerca,0.18
RRP,QTQ0F44,Descarga Inocencia,Terminal,07/08/2025 13:40:33,,Entrou na cerca,0.0
RRP,QUA0J34,Agua Clara,Agua Clara,07/08/2025 10:40:50,07/08/2025 10:55:56,Saiu da cerca,0.25
RRP,QUA0J34,Descarga Inocencia,Terminal,07/08/2025 13:06:12,,Entrou na cerca,0.0
TLS,RBL2B79,Carregamento Fabrica,Fábrica,07/08/2025 09:54:00,07/08/2025 10:47:05,Saiu da cerca,0.88
TLS,RIR5I81,FILA DESCARGA APT,Terminal,07/08/2025 08:01:37,07/08/2025 09:10:29,Saiu da cerca,1.15
TLS,RIR5I81,Descarga TAP,Terminal,07/08/2025 09:10:29,07/08/2025 10:14:25,Saiu da cerca,1.07
TLS,RIR5I81,FILA DESCARGA APT,Terminal,07/08/2025 10:14:25,07/08/2025 10:17:38,Saiu da cerca,0.05
TLS,RIT6B34,Carregamento Fabrica,Fábrica,07/08/2025 10:06:05,07/08/2025 10:55:17,Saiu da cerca,0.82
TLS,RIT6B34,FILA DESCARGA APT,Terminal,07/08/2025 14:17:50,,Entrou na cerca,0.0
TLS,RIY9B41,FILA DESCARGA APT,Terminal,07/08/2025 11:57:56,07/08/2025 14:52:38,Saiu da cerca,2.91
TLS,RIY9B45,FILA DESCARGA APT,Terminal,07/08/2025 12:53:32,,Entrou na cerca,0.0
TLS,RJB6A74,FILA DESCARGA APT,Terminal,07/08/2025 10:31:37,07/08/2025 12:27:14,Saiu da cerca,1.93
TLS,RJB6A74,Descarga TAP,Terminal,07/08/2025 12:27:14,07/08/2025 13:21:20,Saiu da cerca,0.9
TLS,RJB6A74,FILA DESCARGA APT,Terminal,07/08/2025 13:21:20,07/08/2025 13:24:51,Saiu da cerca,0.06
TLS,RJR8F85,Fila abastecimento posto,Abastecimento,07/08/2025 13:00:06,07/08/2025 13:06:31,Saiu da cerca,0.11
TLS,RJR8F85,POSTO DE ABASTECIMENTO,Abastecimento,07/08/2025 13:06:31,07/08/2025 13:19:30,Saiu da cerca,0.22
TLS,RJR8F85,Carregamento Fabrica,Fábrica,07/08/2025 13:33:31,07/08/2025 14:33:05,Saiu da cerca,0.99
TLS,RJS6E42,PA Celulose,Ponto Apoio,07/08/2025 05:34:26,07/08/2025 05:50:00,Saiu da cerca,0.26
TLS,RJS6E42,FILA DESCARGA APT,Terminal,07/08/2025 07:50:03,07/08/2025 08:49:45,Saiu da cerca,0.99
TLS,RJS6E42,Descarga TAP,Terminal,07/08/2025 08:49:45,07/08/2025 10:09:36,Saiu da cerca,1.33
TLS,RJS6E42,FILA DESCARGA APT,Terminal,07/08/2025 10:09:36,07/08/2025 10:13:29,Saiu da cerca,0.06
TLS,RJS6E42,Carregamento Fabrica,Fábrica,07/08/2025 13:06:31,07/08/2025 13:59:48,Saiu da cerca,0.89
TLS,RJS6E44,FILA DESCARGA APT,Terminal,07/08/2025 10:16:31,07/08/2025 11:34:31,Saiu da cerca,1.3
TLS,RJS6E44,Descarga TAP,Terminal,07/08/2025 11:34:31,,Entrou na cerca,0.0
TLS,RJS8F32,FILA DESCARGA APT,Terminal,07/08/2025 11:18:04,07/08/2025 13:17:30,Saiu da cerca,1.99
TLS,RJS8F32,Descarga TAP,Terminal,07/08/2025 13:17:30,07/08/2025 14:10:45,Saiu da cerca,0.89
TLS,RJS8F32,FILA DESCARGA APT,Terminal,07/08/2025 14:10:45,07/08/2025 14:12:22,Saiu da cerca,0.03
TLS,RKO8C61,Carregamento Fabrica,Fábrica,07/08/2025 12:10:53,07/08/2025 12:57:17,Saiu da cerca,0.77
