Customer_ID;Filial;Placa_Veiculo;Descricao_POI;Grupo_POI;Data_Entrada;Data_Saida;Status;Duracao
40456;ID 40456;AZS5J07;TRAJETO PA X APARECIDA 2;Não Mapeado;07/08/2025 08:18;07/08/2025 09:22;Saiu da cerca;1.07
40456;ID 40456;AZS5J07;TRAJETO PA X APARECIDA 3;Não Mapeado;07/08/2025 09:22;07/08/2025 11:43;Saiu da cerca;2.34
40456;ID 40456;AZS5J07;Terminal;Terminal;07/08/2025 09:56;07/08/2025 11:18;Saiu da cerca;1.36
40456;ID 40456;AZS5J07;TRAJETO PA X APARECIDA 2;Não Mapeado;07/08/2025 11:43;07/08/2025 12:37;Saiu da cerca;0.91
40456;ID 40456;AZS5J07;TRAJETO PA X APARECIDA 1;Não Mapeado;07/08/2025 12:37;;Entrou na cerca;0.0
40226;ID 40226;BDL9H07;SALA DE ESTIMULACAO BATAGUASSU;Não Mapeado;07/08/2025 09:38;07/08/2025 09:53;Saiu da cerca;0.25
40226;ID 40226;BDL9H07;SALA DE ESTIMULACAO- CABECEIRA;Não Mapeado;07/08/2025 11:17;07/08/2025 11:18;Saiu da cerca;0.02
40226;ID 40226;BDL9H07;TROCA DE TURNO-PATIO EXTERNO;Não Mapeado;07/08/2025 12:00;07/08/2025 12:06;Saiu da cerca;0.1
40226;ID 40226;BDL9H07;DESAMARRACAO-FABRICA;Não Mapeado;07/08/2025 12:13;07/08/2025 12:16;Saiu da cerca;0.04
40226;ID 40226;BDL9H07;Balanca de Entrada - MS;Não Mapeado;07/08/2025 12:16;07/08/2025 12:23;Saiu da cerca;0.11
40226;ID 40226;BDL9H07;FABRICA;Não Mapeado;07/08/2025 12:23;07/08/2025 12:53;Saiu da cerca;0.51
40226;ID 40226;BDL9H07;MONITORAMENTO-TEMPO DE PATIO;Não Mapeado;07/08/2025 12:23;07/08/2025 12:53;Saiu da cerca;0.51
40226;ID 40226;BDL9H07;Balanca de Saida - MS;Não Mapeado;07/08/2025 12:53;07/08/2025 12:56;Saiu da cerca;0.05
40226;ID 40226;BDL9H07;PONTO DE MONITORAMENTO-POSTO COMBUS FABR;Não Mapeado;07/08/2025 12:57;;Entrou na cerca;0.0
24469;ID 24469;BXR5C46;PONTO DE MONITORAMENTO-PORTAL BRASILANDI;Não Mapeado;07/08/2025 08:17;07/08/2025 08:53;Saiu da cerca;0.59
24469;ID 24469;BXR5C46;ACESSO FABRICA;Não Mapeado;07/08/2025 09:05;07/08/2025 09:11;Saiu da cerca;0.11
24469;ID 24469;BXR5C46;PARADA PROIBIDA-ACOSTAMENTO ACESSO FABRI;Não Mapeado;07/08/2025 09:05;07/08/2025 09:11;Saiu da cerca;0.11
24469;ID 24469;BXR5C46;DESAMARRACAO-FABRICA;Não Mapeado;07/08/2025 09:15;07/08/2025 09:27;Saiu da cerca;0.2
24469;ID 24469;BXR5C46;MONITORAMENTO-TEMPO DE PATIO;Não Mapeado;07/08/2025 09:36;07/08/2025 10:33;Saiu da cerca;0.94
24469;ID 24469;BXR5C46;FABRICA - SOPRADOR;Não Mapeado;07/08/2025 10:27;07/08/2025 10:31;Saiu da cerca;0.05
24469;ID 24469;BXR5C46;FABRICA - FILA SAIDA;Não Mapeado;07/08/2025 10:31;07/08/2025 10:33;Saiu da cerca;0.03
24469;ID 24469;BXR5C46;Balanca de Saida - MS;Não Mapeado;07/08/2025 10:33;07/08/2025 10:37;Saiu da cerca;0.07
24469;ID 24469;BXR5C46;PONTO DE MONITORAMENTO-POSTO COMBUS FABR;Não Mapeado;07/08/2025 10:39;07/08/2025 10:58;Saiu da cerca;0.33
24469;ID 24469;BXR5C46;ACESSO FABRICA;Não Mapeado;07/08/2025 11:00;07/08/2025 11:08;Saiu da cerca;0.13
24469;ID 24469;BXR5C46;PARADA PROIBIDA-ACOSTAMENTO ACESSO FABRI;Não Mapeado;07/08/2025 11:00;07/08/2025 11:08;Saiu da cerca;0.13
24469;ID 24469;BXR5C46;MONITORAMENTO-BRITA ROTATORIA;Não Mapeado;07/08/2025 11:08;07/08/2025 11:10;Saiu da cerca;0.03
24469;ID 24469;BXR5C46;SALA DE ESTIMULACAO- CABECEIRA;Não Mapeado;07/08/2025 11:25;07/08/2025 11:26;Saiu da cerca;0.01
24469;ID 24469;BXR5C46;SALA DE ESTIMULACAO-BRASILANDIA RIO VERD;Não Mapeado;07/08/2025 11:32;07/08/2025 11:34;Saiu da cerca;0.03
24469;ID 24469;BXR5C46;PONTO DE MONITORAMENTO-PORTAL BRASILANDI;Não Mapeado;07/08/2025 11:40;07/08/2025 11:41;Saiu da cerca;0.02
24469;ID 24469;BXR5C46;TROCA D TURNO BRASILA;Não Mapeado;07/08/2025 11:41;07/08/2025 11:50;Saiu da cerca;0.15
24469;ID 24469;BXR5C46;TROCA DE TURNO-SANTA RITA DO RIO PARDO;Não Mapeado;07/08/2025 13:27;07/08/2025 13:31;Saiu da cerca;0.07
24467;ID 24467;CUA2F70;SALA DE ESTIMULACAO- CABECEIRA;Não Mapeado;07/08/2025 11:15;07/08/2025 11:16;Saiu da cerca;0.01
24467;ID 24467;CUA2F70;PONTO DE MONITORAMENTO-PORTAL BRASILANDI;Não Mapeado;07/08/2025 11:28;07/08/2025 11:30;Saiu da cerca;0.02
24467;ID 24467;CUA2F70;TROCA D TURNO BRASILA;Não Mapeado;07/08/2025 11:30;07/08/2025 11:39;Saiu da cerca;0.15
24467;ID 24467;CUA2F70;TROCA DE TURNO-SANTA RITA DO RIO PARDO;Não Mapeado;07/08/2025 13:33;07/08/2025 13:37;Saiu da cerca;0.08
42528;ID 42528;EJI5E47;PROJ-MONTE ALTO;Não Mapeado;07/08/2025 09:05;;Entrou na cerca;0.0
24467;ID 24467;EMC6H39;MONITORAMENTO-TEMPO DE PATIO;Não Mapeado;07/08/2025 07:48;07/08/2025 08:57;Saiu da cerca;1.14
24467;ID 24467;EMC6H39;FABRICA - SOPRADOR;Não Mapeado;07/08/2025 08:53;07/08/2025 08:55;Saiu da cerca;0.03
24467;ID 24467;EMC6H39;FABRICA - FILA SAIDA;Não Mapeado;07/08/2025 08:55;07/08/2025 08:57;Saiu da cerca;0.03
24467;ID 24467;EMC6H39;Balanca de Saida - MS;Não Mapeado;07/08/2025 08:57;07/08/2025 09:01;Saiu da cerca;0.07
24467;ID 24467;EMC6H39;PONTO DE MONITORAMENTO-POSTO COMBUS FABR;Não Mapeado;07/08/2025 09:01;07/08/2025 09:19;Saiu da cerca;0.31
24467;ID 24467;EMC6H39;ACESSO FABRICA;Não Mapeado;07/08/2025 09:19;07/08/2025 09:29;Saiu da cerca;0.17
24467;ID 24467;EMC6H39;PARADA PROIBIDA-ACOSTAMENTO ACESSO FABRI;Não Mapeado;07/08/2025 09:19;07/08/2025 09:25;Saiu da cerca;0.1
24467;ID 24467;EMC6H39;MONITORAMENTO-BRITA ROTATORIA;Não Mapeado;07/08/2025 09:27;07/08/2025 09:29;Saiu da cerca;0.04
24467;ID 24467;EMC6H39;TROCA DE TURNO-CAIPIRAO;Não Mapeado;07/08/2025 09:31;07/08/2025 09:46;Saiu da cerca;0.25
24467;ID 24467;EMC6H39;SALA DE ESTIMULACAO- CABECEIRA;Não Mapeado;07/08/2025 09:59;07/08/2025 10:01;Saiu da cerca;0.03
24467;ID 24467;EMC6H39;TROCA D TURNO BRASILA;Não Mapeado;07/08/2025 10:24;07/08/2025 10:33;Saiu da cerca;0.14
24467;ID 24467;EMC6H39;SALA DE ESTIMULACAO-BRASILANDIA;Não Mapeado;07/08/2025 10:33;07/08/2025 10:33;Saiu da cerca;0.0
24467;ID 24467;EMC6H39;PROJ-MONTE ALTO;Não Mapeado;07/08/2025 12:53;;Entrou na cerca;0.0
42528;ID 42528;ETU9I76;TROCA DE TURNO-SANTA RITA DO RIO PARDO;Não Mapeado;07/08/2025 09:57;07/08/2025 09:58;Saiu da cerca;0.01
42528;ID 42528;ETU9I76;PROJ-MONTE ALTO;Não Mapeado;07/08/2025 10:17;;Entrou na cerca;0.0
24469;ID 24469;EXV1J04;MONITORAMENTO-TEMPO DE PATIO;Não Mapeado;07/08/2025 08:39;07/08/2025 09:19;Saiu da cerca;0.65
24469;ID 24469;EXV1J04;FABRICA - SOPRADOR;Não Mapeado;07/08/2025 09:15;07/08/2025 09:17;Saiu da cerca;0.02
24469;ID 24469;EXV1J04;FABRICA - FILA SAIDA;Não Mapeado;07/08/2025 09:17;07/08/2025 09:21;Saiu da cerca;0.07
24469;ID 24469;EXV1J04;Balanca de Saida - MS;Não Mapeado;07/08/2025 09:27;07/08/2025 09:36;Saiu da cerca;0.15
24469;ID 24469;EXV1J04;ACESSO FABRICA;Não Mapeado;07/08/2025 09:40;07/08/2025 09:49;Saiu da cerca;0.15
24469;ID 24469;EXV1J04;PARADA PROIBIDA-ACOSTAMENTO ACESSO FABRI;Não Mapeado;07/08/2025 09:40;07/08/2025 09:49;Saiu da cerca;0.15
24469;ID 24469;EXV1J04;TROCA DE TURNO-CAIPIRAO;Não Mapeado;07/08/2025 09:51;07/08/2025 10:12;Saiu da cerca;0.34
24469;ID 24469;EXV1J04;SALA DE ESTIMULACAO- CABECEIRA;Não Mapeado;07/08/2025 10:25;07/08/2025 10:27;Saiu da cerca;0.03
24469;ID 24469;EXV1J04;PONTO DE MONITORAMENTO-PORTAL BRASILANDI;Não Mapeado;07/08/2025 10:37;07/08/2025 10:39;Saiu da cerca;0.03
24469;ID 24469;EXV1J04;TROCA D TURNO BRASILA;Não Mapeado;07/08/2025 10:39;07/08/2025 10:48;Saiu da cerca;0.15
42222;ID 42222;FAC4C52;PROJ-MONTE ALTO;Não Mapeado;07/08/2025 07:24;07/08/2025 12:13;Saiu da cerca;4.82
42222;ID 42222;FAC4C52;TROCA DE TURNO-SANTA RITA DO RIO PARDO;Não Mapeado;07/08/2025 12:46;07/08/2025 12:49;Saiu da cerca;0.04
42222;ID 42222;FAC4G21;PROJ-MONTE ALTO;Não Mapeado;07/08/2025 07:21;07/08/2025 11:21;Saiu da cerca;4.0
