Filial;Placa_Veiculo;Descricao_POI;Grupo_POI;Data_Entrada;Data_Saida;Status;Duracao
RRP;RWF6G80;Abastecimento Frotas RRP;Parada Operacional;07/08/2025 13:01;;Entrou na cerca;0.0
RRP;SYD5G23;Agua Clara;Parada Operacional;07/08/2025 08:53;;Entrou na cerca;0.0
RRP;SYD5G50;Agua Clara;Parada Operacional;07/08/2025 11:13;;Entrou na cerca;0.0
RRP;SYD5G58;Agua Clara;Parada Operacional;07/08/2025 08:04;;Entrou na cerca;0.0
RRP;GBJ0J68;Fábrica;Fábrica;07/08/2025 06:22;07/08/2025 08:21;Saiu da cerca;1.99
RRP;GBJ0J68;Carregamento;Carregamento;07/08/2025 06:22;07/08/2025 08:01;Saiu da cerca;1.66
RRP;GBJ0J68;Enlonamento RRP;Parada Operacional;07/08/2025 08:03;07/08/2025 08:19;Saiu da cerca;0.27
RRP;GBJ0J68;Buffer frotas ;Parada Operacional;07/08/2025 08:22;07/08/2025 08:53;Saiu da cerca;0.51
RRP;GBJ0J68;Agua Clara;Parada Operacional;07/08/2025 10:08;07/08/2025 10:16;Saiu da cerca;0.13
RRP;RWD4B32;Buffer frotas ;Parada Operacional;07/08/2025 11:34;;Entrou na cerca;0.0
RRP;QTQ0F44;Carregamento;Carregamento;07/08/2025 07:56;07/08/2025 08:29;Saiu da cerca;0.54
RRP;QTQ0F44;Fábrica;Fábrica;07/08/2025 07:56;07/08/2025 09:08;Saiu da cerca;1.19
RRP;QTQ0F44;Enlonamento RRP;Parada Operacional;07/08/2025 08:46;07/08/2025 09:08;Saiu da cerca;0.36
RRP;QTQ0F44;Buffer frotas ;Parada Operacional;07/08/2025 09:08;07/08/2025 09:38;Saiu da cerca;0.5
RRP;QTQ0F44;Agua Clara;Parada Operacional;07/08/2025 10:53;07/08/2025 11:04;Saiu da cerca;0.18
RRP;QUA0J34;Fábrica;Fábrica;07/08/2025 06:38;07/08/2025 08:26;Saiu da cerca;1.8
RRP;QUA0J34;Carregamento;Carregamento;07/08/2025 06:38;07/08/2025 08:17;Saiu da cerca;1.66
RRP;QUA0J34;Enlonamento RRP;Parada Operacional;07/08/2025 07:50;07/08/2025 08:24;Saiu da cerca;0.57
RRP;QUA0J34;Buffer frotas ;Parada Operacional;07/08/2025 08:27;07/08/2025 09:18;Saiu da cerca;0.85
RRP;QUA0J34;Agua Clara;Parada Operacional;07/08/2025 10:40;07/08/2025 10:55;Saiu da cerca;0.25
RRP;RWB3C06;Descarga Inocencia;Não Mapeado;07/08/2025 05:46;07/08/2025 08:40;Saiu da cerca;2.9
RRP;RWB3C06;Terminal;Terminal;07/08/2025 05:50;07/08/2025 08:38;Saiu da cerca;2.8
RRP;RWB3C06;Descarga;Descarga;07/08/2025 05:50;07/08/2025 08:15;Saiu da cerca;2.42
RRP;RWB3C06;Patio Carregado INO;Parada Operacional;07/08/2025 05:50;07/08/2025 06:09;Saiu da cerca;0.32
RRP;RWB3C06;Descarga INO;Não Mapeado;07/08/2025 06:09;07/08/2025 08:11;Saiu da cerca;2.03
RRP;RWB3C06;Patio Vazio INO;Parada Operacional;07/08/2025 06:09;07/08/2025 07:51;Saiu da cerca;1.69
RRP;RWB3C06;Descarga INO;Não Mapeado;07/08/2025 08:13;07/08/2025 08:15;Saiu da cerca;0.03
RRP;RWB3C06;Patio Carregado INO;Parada Operacional;07/08/2025 08:16;07/08/2025 08:38;Saiu da cerca;0.36
RRP;RWB3C06;Agua Clara;Parada Operacional;07/08/2025 10:37;07/08/2025 10:47;Saiu da cerca;0.17
RRP;RWB3C06;PA AGUA CLARA;Ponto Apoio;07/08/2025 10:45;07/08/2025 10:47;Saiu da cerca;0.03
RRP;RWB3C06;Abastecimento Frotas RRP;Parada Operacional;07/08/2025 12:13;07/08/2025 12:27;Saiu da cerca;0.22
RRP;RWB3C06;Pro LOG;Não Mapeado;07/08/2025 12:13;07/08/2025 12:27;Saiu da cerca;0.22
RRP;SYD5G31;Buffer frotas ;Parada Operacional;07/08/2025 12:43;;Entrou na cerca;0.0
RRP;SYD5G53;Buffer frotas ;Parada Operacional;07/08/2025 11:27;;Entrou na cerca;0.0
RRP;RWD4B32;Agua Clara;Parada Operacional;07/08/2025 08:18;07/08/2025 09:12;Saiu da cerca;0.89
RRP;RWD4B32;Abastecimento Frotas RRP;Parada Operacional;07/08/2025 10:23;07/08/2025 10:50;Saiu da cerca;0.45
RRP;RWD4B32;Pro LOG;Não Mapeado;07/08/2025 10:24;07/08/2025 10:50;Saiu da cerca;0.43
RRP;RWD4B32;Fábrica;Fábrica;07/08/2025 10:50;07/08/2025 11:33;Saiu da cerca;0.72
RRP;RWD4B32;Carregamento;Carregamento;07/08/2025 10:50;07/08/2025 11:18;Saiu da cerca;0.47
RRP;RWD4B32;Enlonamento RRP;Parada Operacional;07/08/2025 10:50;07/08/2025 11:33;Saiu da cerca;0.71
RRP;RWB3C06;Carregamento;Carregamento;07/08/2025 12:29;;Entrou na cerca;0.0
RRP;RWF6G80;Oficina JSL;Manutenção;07/08/2025 07:19;07/08/2025 12:51;Saiu da cerca;5.53
RRP;SYD5G54;Descarga;Descarga;07/08/2025 08:48;;Entrou na cerca;0.0
RRP;FOW8J57;Descarga INO;Não Mapeado;07/08/2025 12:35;;Entrou na cerca;0.0
RRP;SMG2D73;Terminal;Terminal;07/08/2025 08:27;07/08/2025 12:23;Saiu da cerca;3.93
RRP;SMG2D73;Descarga;Descarga;07/08/2025 08:27;07/08/2025 12:23;Saiu da cerca;3.93
RRP;SMG2D73;Patio Carregado INO;Parada Operacional;07/08/2025 08:27;07/08/2025 10:51;Saiu da cerca;2.4
RRP;SMG2D73;Descarga Inocencia;Não Mapeado;07/08/2025 08:27;07/08/2025 12:23;Saiu da cerca;3.93
RRP;SMG2D73;Patio Vazio INO;Parada Operacional;07/08/2025 10:51;07/08/2025 11:36;Saiu da cerca;0.76
RRP;SMG2D73;Descarga INO;Não Mapeado;07/08/2025 10:53;07/08/2025 12:23;Saiu da cerca;1.49
RRP;SMG2D73;Descarga Inocencia;Não Mapeado;07/08/2025 12:38;07/08/2025 12:42;Saiu da cerca;0.07
