Filial,Placa_Veiculo,Descricao_POI,Grupo_POI,Data_Entrada,Data_Saida,Status,Duracao
TLS,AZS5J07,FILA DESCARGA APT,Não Classificado,09/08/2025 04:42:12,09/08/2025 05:04:37,Saiu da cerca,0.37
TLS,AZS5J07,Descarga TAP,Não Classificado,09/08/2025 05:04:37,09/08/2025 06:13:30,Saiu da cerca,1.15
TLS,AZS5J07,FILA DESCARGA APT,Não Classificado,09/08/2025 06:13:30,09/08/2025 06:14:55,Saiu da cerca,0.02
TLS,AZS5J07,Oficina Central JSL,Não Classificado,09/08/2025 08:48:06,,Entrou na cerca,0.0
RRP,FOW8J57,Agua Clara,Não Classificado,09/08/2025 10:31:06,09/08/2025 10:39:09,Saiu da cerca,0.13
RRP,GBJ0J68,Descarga Inocencia,Não Classificado,09/08/2025 08:34:43,09/08/2025 10:51:25,Saiu da cerca,2.28
TLS,JBC2A73,FILA DESCARGA APT,Não Classificado,09/08/2025 06:11:47,09/08/2025 06:51:50,Saiu da cerca,0.67
TLS,JBC2A73,Descarga TAP,Não Classificado,09/08/2025 06:52:36,09/08/2025 07:43:03,Saiu da cerca,0.84
TLS,JBC2A73,FILA DESCARGA APT,Não Classificado,09/08/2025 07:43:03,09/08/2025 07:45:07,Saiu da cerca,0.03
TLS,JBD4H09,Carregamento Fabrica,Não Classificado,09/08/2025 06:11:56,09/08/2025 07:13:42,Saiu da cerca,1.03
TLS,JBD4H09,Fila abastecimento posto,Não Classificado,09/08/2025 07:23:31,09/08/2025 07:28:27,Saiu da cerca,0.08
TLS,JBD4H09,POSTO DE ABASTECIMENTO,Não Classificado,09/08/2025 07:28:39,09/08/2025 07:40:53,Saiu da cerca,0.2
TLS,JBD4H09,FILA DESCARGA APT,Não Classificado,09/08/2025 10:43:14,,Entrou na cerca,0.0
TLS,JBE2H37,Descarga TAP,Não Classificado,09/08/2025 06:14:55,09/08/2025 07:23:06,Saiu da cerca,1.14
TLS,JBE2H37,POSTO DE ABASTECIMENTO,Não Classificado,09/08/2025 09:57:59,09/08/2025 10:08:43,Saiu da cerca,0.18
TLS,JBE2H37,Carregamento Fabrica,Não Classificado,09/08/2025 10:13:25,09/08/2025 11:07:37,Saiu da cerca,0.9
TLS,JBJ2H62,PA Celulose,Não Classificado,09/08/2025 06:30:03,09/08/2025 07:48:16,Saiu da cerca,1.3
TLS,JBJ2H62,Carregamento Fabrica,Não Classificado,09/08/2025 08:42:36,09/08/2025 09:45:22,Saiu da cerca,1.05
TLS,JBJ2H81,Descarga TAP,Não Classificado,09/08/2025 05:58:07,09/08/2025 06:52:12,Saiu da cerca,0.9
TLS,JBJ2H81,FILA DESCARGA APT,Não Classificado,09/08/2025 06:52:12,09/08/2025 06:52:41,Saiu da cerca,0.01
TLS,JBJ2H81,Carregamento Fabrica,Não Classificado,09/08/2025 09:33:59,09/08/2025 10:32:58,Saiu da cerca,0.98
